key1,key2,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30
Doorframes,1,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doorframes,2,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doorframes,3,0.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doors,1,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doors,2,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Sockets,1,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Sockets,2,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Sockets,3,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Sockets,4,0.05,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Sockets,5,0.06,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Switches,1,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Switches,2,0.06,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locks&handles,1,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locks&handles,2,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locks&handles,3,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirt Joints,1,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirt Joints,2,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirting,1,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirting,2,0.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
